feature,dimension,critic_weight,ewm_weight,ensemble_weight
p_employment_proxy_n,PLACE,0.13365356965005395,0.1922581513572988,0.16295586050367641
p_service_density_n,PLACE,0.10000369475526429,0.19096079330179833,0.14548224402853133
n_intersection_density_n,NODE,0.09271004994322397,0.1010556341455339,0.09688284204437896
p_land_use_mix_n,PLACE,0.0929196912452073,0.07883496236443219,0.08587732680481976
pe_rezago_n,PEOPLE,0.07039174337484042,0.09406886909819688,0.08223030623651865
p_retail_density_n,PLACE,0.0620847811366984,0.07003442850396693,0.06605960482033268
n_intersections_n,NODE,0.07778942641701383,0.03923487599277512,0.05851215120489448
pe_marginacion_n,PEOPLE,0.0634947376589419,0.051459056675697806,0.05747689716731986
p_poi_density_n,PLACE,0.06382040313111233,0.049401833758737156,0.056611118444924745
n_street_density_n,NODE,0.07490178547109777,0.026677733175747113,0.05078975932342245
pe_population_n,PEOPLE,0.05984386222649841,0.02214907599155081,0.040996469109024616
pe_pop_density_n,PEOPLE,0.05751976711100073,0.013839393275010173,0.035679580193005454
pe_youth_share_n,PEOPLE,0.026353875962570703,0.038628982138059174,0.03249142905031494
pe_dep_ratio_n,PEOPLE,0.024512611916475836,0.03139621022119565,0.027954411068835748
